validdate,leisure_biking:idx,snow_depth:cm,t_2m:C,precip_24h:mm,weather_symbol_1h:idx,effective_cloud_cover:octas
2021-01-01T14:00:00Z,0.0,27.438461,-0.34615386,2.3023076,4.1538463,8.0
2021-01-02T14:00:00Z,0.0,27.823076,1.0923077,2.3815384,3.8461537,7.3846154
2021-01-03T14:00:00Z,0.0,28.315384,-0.23846154,3.3838463,3.7692308,7.0
2021-01-04T14:00:00Z,0.046153847,28.746153,-0.43846154,0.3123077,3.6923077,5.076923
2021-01-05T14:00:00Z,0.03846154,28.892307,-1.8,0.66384614,3.1538463,6.0
2021-01-06T14:00:00Z,0.015384615,29.246153,-2.9,2.02,4.3846154,6.769231
2021-01-07T14:00:00Z,0.053846154,29.061539,-2.8076923,0.033076923,1.1538461,0.3846154
2021-01-08T14:00:00Z,0.0,28.86923,-4.123077,0.026923077,1.4615384,0.07692308
2021-01-09T14:00:00Z,0.0,29.10769,-1.8153846,0.0,2.8461537,5.6153846
2021-01-10T14:00:00Z,0.0,29.115385,-2.0692308,0.0046153846,1.0,0.0
2021-01-11T14:00:00Z,0.0,28.9,-1.9076923,0.0,1.0,0.0
2021-01-12T14:00:00Z,0.03846154,30.607693,-0.38461536,1.1176924,5.3076925,8.0
2021-01-13T14:00:00Z,0.10769231,40.53077,0.14615387,7.743077,2.6923077,3.4615386
2021-01-14T14:00:00Z,0.1,56.23077,1.0615385,18.723078,5.4615383,6.5384617
2021-01-15T14:00:00Z,0.03846154,60.676926,-1.4923078,6.6338463,4.076923,7.0
2021-01-16T14:00:00Z,0.10769231,59.876923,-2.8923078,0.016153846,2.0,2.7692308
2021-01-17T14:00:00Z,0.03846154,60.153847,-1.8615384,3.4407692,5.4615383,8.0
2021-01-18T14:00:00Z,0.09615385,60.284615,-1.5,1.1307693,1.0769231,0.23076923
2021-01-19T14:00:00Z,0.10769231,58.70769,1.7615385,0.0,1.6923077,2.4615386
2021-01-20T14:00:00Z,0.14615384,56.99231,2.1076922,0.0,1.6923077,2.3076923
2021-01-21T14:00:00Z,0.026923077,55.83077,2.823077,1.9992307,4.3846154,6.8461537
2021-01-22T14:00:00Z,0.0,54.7,3.4384615,6.6592307,5.5384617,7.6923075
2021-01-23T14:00:00Z,0.11153846,57.1,0.3461538,9.234615,3.5384614,5.5384617
2021-01-24T14:00:00Z,0.08846154,56.715385,-2.0538461,1.5176923,1.2307693,0.9230769
2021-01-25T14:00:00Z,0.07692307,58.5,-3.1615384,3.5846155,5.1538463,6.4615383
2021-01-26T14:00:00Z,0.08461539,60.43077,-3.4230769,0.76,2.3076923,3.1538463
2021-01-27T14:00:00Z,0.0,67.13846,-0.26153845,4.236923,6.3076925,8.0
2021-01-28T14:00:00Z,0.103846155,82.176926,4.4384613,26.876154,5.3846154,7.076923
2021-01-29T14:00:00Z,0.115384616,80.53846,3.3846154,15.022307,5.3846154,6.0
2021-01-30T14:00:00Z,0.0,80.815384,3.4615386,8.46,5.6153846,8.0
2021-01-31T14:00:00Z,0.2653846,79.53077,3.4384615,3.5846155,1.6153846,1.8461539
2021-02-01T14:00:00Z,0.08076923,79.784615,3.0615385,4.8392305,5.230769,8.0
2021-02-02T14:00:00Z,0.115384616,79.43077,5.4153843,4.7353845,5.076923,6.1538463
2021-02-03T14:00:00Z,0.07692308,76.69231,5.2153845,5.8892307,4.4615383,7.4615383
2021-02-04T14:00:00Z,0.12307693,75.184616,6.2384615,2.43,4.076923,7.769231
2021-02-05T14:00:00Z,0.13846155,73.04615,7.330769,0.56153846,5.230769,6.1538463
2021-02-06T14:00:00Z,0.18076923,71.6,6.353846,0.31461537,3.4615386,6.3076925
2021-02-07T14:00:00Z,0.0076923077,73.88461,2.5,10.561539,6.3846154,8.0
2021-02-08T14:00:00Z,0.13846155,77.97692,1.5,5.4061537,2.6153846,2.0
2021-02-09T14:00:00Z,0.1,77.09231,1.6615385,1.0984615,2.6153846,4.6153846
2021-02-10T14:00:00Z,0.09615385,77.90769,1.9692308,3.2,5.3076925,6.769231
2021-02-11T14:00:00Z,0.11153846,78.08462,-1.7615384,0.5576923,1.0,0.0
2021-02-12T14:00:00Z,0.0,77.63077,-1.0538461,0.041538462,3.3076923,6.076923
2021-02-13T14:00:00Z,0.0,77.98462,-4.0153847,0.14615385,1.0,0.0
2021-02-14T14:00:00Z,0.053846154,77.284615,-2.5076923,0.0,1.3846154,1.5384616
2021-02-15T14:00:00Z,0.0,76.65385,1.9461539,0.073076926,5.923077,8.0
2021-02-16T14:00:00Z,0.28846154,74.36923,6.830769,1.803077,2.4615386,4.5384617
2021-02-17T14:00:00Z,0.33846155,74.276924,5.476923,1.7776923,1.3076923,0.9230769
2021-02-18T14:00:00Z,0.30769232,73.38461,5.5923076,0.0,2.8461537,5.3846154
2021-02-19T14:00:00Z,0.35384616,72.253845,6.730769,0.24153847,1.9230769,3.3846154
2021-02-20T14:00:00Z,0.3423077,71.284615,7.753846,0.0,1.4615384,1.6153846
2021-02-21T14:00:00Z,0.3576923,70.4,7.830769,0.0,1.0769231,0.15384616
2021-02-22T14:00:00Z,0.35384616,69.6,7.9,0.0,2.0769231,3.3076923
2021-02-23T14:00:00Z,0.3846154,67.284615,9.630769,0.0,1.5384616,1.4615384
2021-02-24T14:00:00Z,0.4,65.738464,10.376923,0.0,1.0,0.0
2021-02-25T14:00:00Z,0.4,65.215385,10.6,0.0,1.0,0.0
2021-02-26T14:00:00Z,0.31538463,63.892307,9.353847,0.0,2.0769231,3.0
2021-02-27T14:00:00Z,0.30769232,62.646152,6.4076924,0.21230769,1.4615384,1.3076923
2021-02-28T14:00:00Z,0.34615386,61.661537,6.3846154,0.0,1.0,0.0
2021-03-01T14:00:00Z,0.34615386,61.50769,6.453846,0.0,1.0,0.0
2021-03-02T14:00:00Z,0.36153847,61.26154,7.9076924,0.0,1.6923077,2.7692308
2021-03-03T14:00:00Z,0.3923077,61.00769,8.638462,0.0,1.1538461,0.6923077
2021-03-04T14:00:00Z,0.28846154,59.692307,6.4615383,0.15153846,2.3846154,3.6153846
2021-03-05T14:00:00Z,0.25384614,60.29231,4.315385,1.3030769,3.2307692,2.6153846
2021-03-06T14:00:00Z,0.25384614,59.66923,3.4230769,0.40384614,1.2307693,0.61538464
2021-03-07T14:00:00Z,0.17692308,59.576923,3.7538462,0.38923076,3.0,3.0
2021-03-08T14:00:00Z,0.3,59.453846,4.1076922,0.5784615,1.3846154,1.0
2021-03-09T14:00:00Z,0.20769231,59.423077,2.646154,0.6046154,5.3076925,8.0
2021-03-10T14:00:00Z,0.33846155,59.26923,3.5846152,0.08615384,1.3076923,0.84615386
2021-03-11T14:00:00Z,0.18461539,57.6,7.9461536,0.58692306,3.4615386,6.230769
2021-03-12T14:00:00Z,0.26923075,59.153847,4.4384613,7.352308,3.0769231,2.6153846
2021-03-13T14:00:00Z,0.20384616,58.392307,5.1307693,0.49846154,3.1538463,5.076923
2021-03-14T14:00:00Z,0.092307694,62.784615,1.1230769,7.1923075,5.0,6.6923075
2021-03-15T14:00:00Z,0.1,73.738464,2.476923,10.95,5.6153846,6.769231
2021-03-16T14:00:00Z,0.20384616,80.42308,0.8230769,3.9046154,3.3846154,5.3846154
2021-03-17T14:00:00Z,0.17307693,80.215385,1.5461539,1.8376923,3.3076923,4.6923075
2021-03-18T14:00:00Z,0.17307691,78.638466,-0.14615384,1.0161538,1.3076923,0.9230769
2021-03-19T14:00:00Z,0.17692308,76.9,0.1692308,0.41769233,3.9230769,6.1538463
2021-03-20T14:00:00Z,0.1423077,76.0,-0.53846157,0.06846154,1.0,0.15384616
