OPUIC,Stop name,Station abbreviation
8592560,"Schaffhausen, Klingenstrasse",
8592537,"Schaffhausen, Geissberg",
8592535,"Schaffhausen, Frohberg",
8588887,"Schaffhausen, Bahnhof Nord",
8506613,"Mattwil, Schule",
8589359,"Basel, Schorenweg",
8589337,"Basel, Lange Erlen",
8592324,"Basel, Otterbach Grenze",
8502766,"Bottenwil, Dorf",BOPO
8530793,Cortaillod (bateau),
1201458,"Lustenau, Gasthaus Bräuhaus",
1201452,"Lustenau, Friedensstrasse",
8519584,"Basel, Münchensteinerstr.(Vzw)",
1200554,"Dornbirn, Niederbahn",
8580492,"Frümsen, Schäfli",
8592971,"Laconnex, Chemin de la Douane",
8587074,"Laconnex, village",
8582467,"Bad Ragaz, Bahnhofstrasse",
8575114,"Bad Ragaz, Bahnhof",
8519552,"Basel, Aeschenplatz (Vzw)",
8519551,"Basel, Aeschenplatz (Vzw Süd)",
8577064,"Entlebuch, Rusacher",
8584257,Tankstelle 1 Migrol Entlebuch,
8577055,"Entlebuch, Unteregg",
8580032,"Ennenda, Seilbahn",
8584875,Tankstelle PU Niederer Ennend,
8588333,"Fronalp (GL), Unter Stafel",
8573889,"Mollis, Chapellenstutz",MOCH
8593175,"Vernier, école",
1201542,"Lustenau, Volksschule Rotkreuz",
8518816,Basel Bad Bf (via DB),
8589341,"Basel, Mattenstrasse",
8595953,"Avully, Bachères",
8506261,Brülisau (Kastenbahn),
8530907,Pardiel (Laufböden),
8588943,"Basel, St. Jakob",
8578309,"Birsfelden, Stausee",
8578305,"Birsfelden, Sternenfeld",
8589305,"Basel, Clarastrasse",
8589363,"Basel, Sportzentrum Rankhof",
8588779,"Basel, Rheingasse",
8500368,Wissi Stei,
1201424,"Lustenau, Augarten",
1201418,"Lustenau, Altes Zollamt",
8589383,"Basel, Zwinglihaus",
8587163,"Egnach, Wiedehorn",
8593171,"Vernier, SIG Lignon",
1201624,"Rankweil, An der Maut",
1201616,"Nofels, Kronenweg",
1201598,"Muntlix, Kreuzstrasse",
8589292,"Basel, Allmendstrasse",
8582740,"Bad Ragaz, Tobelbrücke",
8582493,"Bad Ragaz, Maienfelderstrasse",
8582468,"Bad Ragaz, Im Ochsenbrunnen",
8582470,"Bad Ragaz, St. Leonhard",
8582474,"Bad Ragaz, Freihof",
1201480,"Lustenau, Im Schützengarten",
1201470,"Lustenau, HAK/HAS",
8500897,"Basel, Barfüsserplatz",
8579642,"Cortaillod, Bas-de-Sachet",
8592768,"La Plaine, école",
8593139,"Vernier, Avanchet",
8595035,"Plan-les-Ouates, Champ-Carré",
8570333,"Montalchez, centre du village",
8517231,Arth-Goldau Stellwerk,GDSW
8592508,"Neuhausen, Neue Welt",
8592541,"Schaffhausen, Glockengut",
8589366,"Basel, Strassburgerallee",
8588488,"Basel, Metzerstrasse",
8592561,"Schaffhausen, Kronenhalde",
8592545,"Schaffhausen, Gruben",
8588065,"Basel, Spitzacker",
8593125,"Troinex, Pont-de-Drize",
1200332,"Dafins, Neugut",
1200310,"Bregenz, Wuhrwaldstrasse",
1200308,"Bregenz, Wolfordstrasse",
1200306,"Bregenz, Wolfeggstrasse",
1200294,"Bregenz, Thalbachgasse",
8578145,"Basel, Im Wasenboden",
8574589,"Sarn, Lescha",
8592557,"Schaffhausen, Kantonsspital",
8578157,"Basel, Neuweilerstrasse",
8589330,"Basel, Im langen Loh",
8519562,"Basel, Depot Wiesenplatz",
8592573,"Schaffhausen, Rosentalgässchen",
8573738,"Schaffhausen, Rheinbühl",
8519568,"Basel, Heuwaage (Vzw)",
8519579,"Basel, Schifflände Nord (Vzw)",
8502359,"Brittnau, Abzw. Hard",BTAH
1201716,"Röthis, Treietstrasse",
1201710,"Röthis, Rössle",
8502519,"Schaffhausen, Schlossweiher",
8588768,"Basel, Dreirosenbrücke",
8502251,Zug Bahnhofsteg (See),
8591898,"Zug, Gartenstadt",
1201774,"Tosters, Kirche",
8573466,"Schaffhausen, Gemsstübli",
8592542,"Schaffhausen, Grafenbuckstieg",
8519581,"Basel, Schützenhaus (Vzw)",
8500138,"Basel, St-Louis Grenze",STLO
8519575,"Basel, Morgartenring (Wds)",
8503495,"Schaffhausen, Bahnhof",
8581073,"Schaffhausen, Bachstrasse",
8592579,"Schaffhausen, Spiegelgutstr.",
1200364,"Dornbirn, Badgasse",
1200352,"Dornbirn, Am Wall",
1200350,"Dornbirn, Am Stiglbach",
1201764,"Tosters, Blumenau",
1201646,"Rankweil, HTL/HBLA",
1201640,"Rankweil, Habsburgerstrasse",
1200282,"Bregenz, Schule Schendlingen",
1200280,"Bregenz, Schule Rieden",
8502528,"Schaffhausen,E. Homberger-Str.",
8588064,"Basel, Gempenfluh",
1200934,"Götzis, Kirla/H-B-Strasse",
1200930,"Götzis, Junker-Jonas-Platz",
8579872,"Linthal, Bebie",LIBB
8505699,"Linthal, Bergli",
8592719,"Choulex, Rouette",
1200134,"Bildstein, Farnach",
1200132,"Bildstein, Dorfplatz",
1200180,"Bregenz, Am Tannenbach",
1200166,"Brederis, Paspels-Seen",
1200146,"Bildstein, Obere Bereute",
1200144,"Bildstein, Loban",
1200120,"Batschuns, Volksschule",
1200112,"Batschuns, Gelber Schrofen",
1201668,"Rankweil, Lindenweg",
1201664,"Rankweil, Lerchenweg",
1201660,"Rankweil, Landrichterstrasse",
8516013,Cantello-Gaggiolo,GAGO
1200026,"Alberschwende, Schwarzen",
1200024,"Alberschwende, Reute",
1200206,"Bregenz, Blumenegg",
8515506,Vufflens-la-Ville coté BY (B),VUCB
8517111,Sursee Süd (Spw),SSS
8518789,Rotkreuz Nordost,RKNO
8587985,"Grüt (Gossau ZH), Bönler",
8588033,"Meilen, Vorderer Pfannenstiel",
8502140,Aarau Ost (Abzw),AAO
8516315,Boswil (Spw),BOSP
8595227,"Presinge, L'Avenir-croisée",
8586609,Tankstelle & Waschanlage PU R,
8501176,Fey,FEY
8579665,"Boudry, Praz",
