res_id,res_dt,train_nr,reserved,bp_from,bp_to,dep_soll
186372,08.08.21 21:01,507,1,AA,ZUE,09.08.21 06:31
186373,05.08.21 14:00,508,1,ZUE,NE,09.08.21 06:04
186374,07.08.21 17:19,508,1,OL,BI,09.08.21 06:41
186375,09.08.21 07:12,508,1,BI,YV,09.08.21 07:16
186376,09.08.21 08:06,508,1,MOR,GE,09.08.21 08:18
186377,08.08.21 17:19,509,1,W,SG,09.08.21 08:29
186378,09.08.21 07:06,509,1,W,SG,09.08.21 08:29
186379,08.08.21 13:51,510,2,ZUE,GE,09.08.21 07:04
186380,08.08.21 14:58,510,1,ZUE,BI,09.08.21 07:04
186381,09.08.21 07:17,510,1,BI,GE,09.08.21 08:16
186382,08.08.21 18:44,510,1,ZUE,BI,09.08.21 07:04
186383,08.08.21 19:02,510,1,ZUE,GE,09.08.21 07:04
186384,09.08.21 07:26,510,1,AA,SO,09.08.21 07:30
186385,09.08.21 07:20,511,1,BI,AA,09.08.21 07:46
186386,07.08.21 13:33,512,1,ZUE,MOR,09.08.21 08:04
186387,07.08.21 13:52,512,2,BI,NE,09.08.21 09:16
186388,09.08.21 08:14,512,1,OL,BI,09.08.21 08:41
186389,08.08.21 11:00,512,1,BI,GE,09.08.21 09:16
186390,08.08.21 22:50,512,1,ZUE,YV,09.08.21 08:04
186391,21.07.21 15:16,513,1,GE,BI,09.08.21 07:15
186392,08.08.21 10:27,513,1,BI,OL,09.08.21 08:46
186393,08.08.21 18:54,513,1,W,SG,09.08.21 10:29
186394,08.08.21 18:54,513,1,W,SG,09.08.21 10:29
186395,08.08.21 22:47,513,1,MOR,ZFH,09.08.21 07:42
186396,26.06.21 17:15,514,2,BI,GE,09.08.21 10:16
186397,07.08.21 10:07,514,1,ZUE,NE,09.08.21 09:04
186398,08.08.21 19:26,514,1,SG,ZUE,09.08.21 07:58
186399,08.08.21 20:59,514,2,ZUE,BI,09.08.21 09:04
186400,07.08.21 10:09,514,1,ZUE,NE,09.08.21 09:04
186401,08.08.21 15:29,514,2,ZUE,YV,09.08.21 09:04
186402,08.08.21 21:10,514,1,ZUE,BI,09.08.21 09:04
186403,08.08.21 22:13,514,1,ZUE,BI,09.08.21 09:04
186404,08.08.21 22:52,514,1,ZUE,BI,09.08.21 09:04
186405,09.08.21 08:56,514,1,ZUE,BI,09.08.21 09:04
186406,06.08.21 11:09,515,2,GE,NE,09.08.21 08:15
186407,08.08.21 12:25,515,1,GE,ZUE,09.08.21 08:15
186408,08.08.21 21:55,515,1,YV,ZUE,09.08.21 09:07
